link,title,headline
https://bisnis.tempo.co/read/1773025/terkini-bisnis-menteri-bahlil-gelar-rakor-soal-pulau-rempang-di-batam-98-persen-tiket-kereta-cepat-jakarta-bandung-sudah-dipesan,"Terkini Bisnis: Menteri Bahlil Gelar Rakor Soal Pulau Rempang di Batam, 98 Persen Tiket Kereta Cepat Jakarta-Bandung Sudah Dipesan","Menteri Bahlil diutus Presiden Jokowi untuk pergi ke Pulau Rempang, Batam, Kepulauan Riau, untuk membereskan konflik soal proyek Rempang Eco City."
https://gaya.tempo.co/read/1773032/menjaga-kesehatan-hati-ini-5-asupan-makanannya,"Menjaga Kesehatan Hati, Ini 5 Asupan Makananny","Sayuran hijau bermanfaat menjaga kesehatan hati atau liver, yaitu bayam dan brokoli"
https://gaya.tempo.co/read/1773030/bolehkan-penderita-diabetes-minum-madu,"Bolehkan Penderita Diabetes Minum Madu?","Penderita diabetes sebaiknya selalu berkonsultasi dengan dokter atau ahli gizi sebelum minum madu."
https://nasional.tempo.co/read/1773031/cegah-kebakaran-di-tpa-putri-cempo-terulang-gibran-segera-bangun-hidran,"Cegah Kebakaran di TPA Putri Cempo Terulang, Gibran Segera Bangun Hidran","Wali Kota Solo Gibran Rakabuming Raka segera membangun hidran di kawasan Tempat Pembuangan Akhir Sampah (TPAS) Putri Cempo Solo usai kebakaran"
https://bisnis.tempo.co/read/1772999/teten-dan-sandiaga-beda-suara-soal-tiktok-shop-ini-5-saran-ekonom-untuk-lindungi-umkm-dari-gempuran-barang-impor,"Teten dan Sandiaga Beda Suara Soal TikTok Shop, Ini 5 Saran Ekonom untuk Lindungi UMKM dari Gempuran Barang Impor"," Menteri Pariwisata dan Ekonomi Kreatif Sandiaga Uno tak setuju apabila TikTok Shop dilarang di Indonesia."
https://bola.tempo.co/read/1773029/hasil-klasemen-dan-top-skor-liga-1-pekan-ke-12-tekuk-persebaya-madura-united-kian-kokoh-di-puncak,"Hasil, Klasemen, dan Top Skor Liga 1 Pekan Ke-12: Tekuk Persebaya, Madura United Kian Kokoh di Puncak","Madura United berhasil mengalahkan Persebaya Surabaya dengan skor 3-0 dalam pertandingan Liga 1 pekan ke-12. Simak klasemen dan top skornya."
https://otomotif.tempo.co/read/1773028/hakim-mk-dorong-sim-lansia-berlaku-seumur-hidup,"Hakim MK Dorong SIM Lansia Berlaku Seumur Hidup","Hakim MK Daniel Yusmic P. Foekh mendorong adanya kebijakan baru untuk SIM lansia yang berlaku seumur hidup."
https://tekno.tempo.co/read/1772981/honor-90-5g-rilis-di-india-ini-spesifikasinya,"Honor 90 5G Rilis di India, Ini Spesifikasiny","Honor 90 5G akan tersedia dalam tiga warna, yakni emerald green, diamond silver, dan midnight black."
https://nasional.tempo.co/read/1773026/tiga-menteri-jokowi-gelar-rapat-tertutup-soal-rempang-di-batam-ini-hasilnya,"Tiga Menteri Jokowi Gelar Rapat Tertutup soal Rempang di Batam, Ini Hasilny","Tiga menteri Kabinet Indonesia Maju menggelar rangka rapat koordinasi percepatan pengembangan investasi ramah lingkungan di kawasan Pulau Rempang"
https://bola.tempo.co/read/1773024/hasil-liga-1-madura-united-vs-persebaya-surabaya-3-0-sape-kerrab-kokoh-di-puncak-klasemen,"Hasil Liga 1: Madura United vs Persebaya Surabaya 3-0, Sape Kerrab Kokoh di Puncak Klasemen","Hasil Madura United vs Persebaya Surabaya 3-0 di laga pekan ke-12 Liga 1 ini merusak debut pelatih baru Bajul Ijo Josep Gombau."
https://dunia.tempo.co/read/1773023/gejolak-dalam-pemerintahan-xi-jinping-menebar-kekhawatiran-akan-diplomasi-cina,"Gejolak dalam Pemerintahan Xi Jinping Menebar Kekhawatiran akan Diplomasi Cin","Menghilangnya Li Shanfu, menteri pertahanan Cina dari pandangan publik, memicu ketidakpastian tentang pemerintahan Presiden Xi Jinping."
https://nasional.tempo.co/read/1773022/setelah-anies-giliran-ganjar-dijadwalkan-isi-kuliah-kebangsaan-di-ui-senin-besok,"Setelah Anies, Giliran Ganjar Dijadwalkan Isi Kuliah Kebangsaan di UI Senin Besok","Bacapres Ganjar Pranowo dijadwalkan mengisi Kuliah Kebangsaan garapan Fakultas Ilmu Sosial dan Ilmu Politik Universitas Indonesia (FISIP UI), Senin, 18 September 2023."
https://nasional.tempo.co/read/1773017/kunjungi-rempang-ini-sejumlah-temuan-dan-permintaan-komnas-ham,"Kunjungi Rempang, Ini Sejumlah Temuan dan Permintaan Komnas HAM","Tim Komnas HAM menemukan selongsong peluru gas air mata di atap sekolah dan meminta pemerintah untuk menghentikan sementara proyek Rempang Eco-city."
https://nasional.tempo.co/read/1773019/3-sinyal-demokrat-merapat-ke-koalisi-indonesia-maju-dukung-prabowo,"3 Sinyal Demokrat Merapat ke Koalisi Indonesia Maju Dukung Prabowo","Kepastian arah koalisi Partai Demokrat memang akan ditentukan Kamis pekan depan. Namun sinyal merapat ke Koalisi Indonesia Maju semakin kentara."
https://bisnis.tempo.co/read/1773020/kcic-sediakan-4-jadwal-perjalanan-pulang-pergi-untuk-uji-coba-kereta-cepat-jakarta-bandung,"KCIC Sediakan 4 Jadwal Perjalanan Pulang Pergi untuk Uji Coba Kereta Cepat Jakarta-Bandung","PT Kereta Cepat Indonesia Cina membuka pendaftaran  dalam 2 tahap selama uji coba Kereta Cepat Jakarta-Bandung."
https://metro.tempo.co/read/1773018/penggerudukan-kapel-bukit-cinere-kapolres-depok-sebut-aksi-spontan,"Penggerudukan Kapel Bukit Cinere, Kapolres Depok Sebut Aksi Spontan","Kapel Bukit Cinere, Depok digeruduk puluhan massa Sabtu kemarin yang menolak ada kegiatan peribadatan"
https://otomotif.tempo.co/read/1773014/mulai-besok-polda-metro-jaya-gelar-operasi-zebra-incar-15-pelanggaran-lalu-lintas,"Mulai Besok Polda Metro Jaya Gelar Operasi Zebra, Incar 15 Pelanggaran Lalu Lintas","Pengendara roda empat atau roda dua yang melawan arus menjadi salah satu pelanggaran lalu lintas yang bakal ditindak di Operasi Zebra besok."
https://bisnis.tempo.co/read/1773012/menteri-bahlil-ke-batam-gelar-rapat-koordinasipercepatan-pengembangan-investasi-di-pulau-rempang,"Menteri Bahlil ke Batam, Gelar Rapat Koordinasi  Percepatan Pengembangan Investasi di Pulau Rempang","Bahlil Lahadalia optimistis situasi yang memanas di Pulau Rempang tidak memberi citra buruk ke mata investor."
https://bisnis.tempo.co/read/1773007/sejumlah-catatan-dosen-ui-soal-rencana-investasi-starlink-elon-musk-di-indonesia-singgung-kedaulatan-siber,"Sejumlah Catatan Dosen UI soal Rencana Investasi Starlink Elon Musk di Indonesia, Singgung Kedaulatan Siber","Menurut Dosen UI, potensi dan ancaman yang mungkin saja terjadi perlu diperhitungkan terkait rencana investasi Starlink milik Elon Musk di Indonesia."
https://metro.tempo.co/read/1773011/kebakaran-museum-nasional-polisi-periksa-14-saksi,"Kebakaran Museum Nasional, Polisi Periksa 14 Saksi","Polisi masih melakukan olah tempat kejadian perkara (TKP) peristiwa kebakaran Museum Nasional."
https://seleb.tempo.co/read/1772839/richard-lee-dokter-kecantikan-yang-raup-omzet-rp-41-miliar-saat-jualan-via-live-tiktok,"Richard Lee, Dokter Kecantikan yang Raup Omzet Rp 41 Miliar Saat Jualan Via Live TikTok","Ini sosok Richard Lee, dokter populer dan kiprahnya di dunia entertainment Indonesia yang seringkali diperbincangkan netizen."
https://nasional.tempo.co/read/1773009/wasekjen-pan-sebut-pertemuan-koalisi-pendukung-prabowo-sore-ini-akan-dihadiri-demokrat,"Wasekjen PAN Sebut Pertemuan Koalisi Pendukung Prabowo Sore Ini Akan Dihadiri Demokrat","Wakil Sekretaris Jenderal PAN Fikri Yasin mengatakan mengonfirmasi Demokrat akan hadir dalam pertemuan anggota koalisi pendukung Prabowo"
https://dunia.tempo.co/read/1773006/fakta-tentang-raelisme-sekte-pemuja-alien-dengan-lambang-swastika-dan-bintang-daud,"Fakta Tentang Raelisme, Sekte Pemuja Alien dengan Lambang Swastika dan Bintang Daud","Begini awal mula munculnya sekte pemuja alien"
https://nasional.tempo.co/read/1773004/sama-respons-ganjar-anies-soal-penanganan-konflik-pulau-rempang,"Sama Respons Ganjar-Anies soal Penanganan Konflik Pulau Rempang","Respons bakal capres Ganjar Pranowo dan Anies Baswedan ihwal desakan pemberhentian proyek Rempang Eco-City di Pulau Rempang ternyata hampir sama."
https://tekno.tempo.co/read/1772973/vivo-t2-pro-5g-akan-diluncurkan-di-india-pada-22-september-2023,"Vivo T2 Pro 5G akan Diluncurkan di India pada 22 September 2023","Vivo T2 Pro 5G akan memiliki layar tepi melengkung dan dilengkapi dengan chipset MediaTek Dimensity 7200 octa-core."
https://dunia.tempo.co/read/1773000/pasukan-rusia-di-perbatasan-norwegia-tinggal-20-persen-dikerahkan-ke-ukraina,"Pasukan Rusia di Perbatasan Norwegia Tinggal 20 Persen, Dikerahkan ke Ukrain","Pasukan Rusia yang ditempatkan di Arktik dekat Norwegia tinggal ""20 persen atau kurang"" dari jumlah mereka sebelum invasi Februari 2022 ke Ukraina,."
https://travel.tempo.co/read/1773003/museum-nasional-kebakaran-ini-koleksi-yang-tersimpan-di-sana,"Museum Nasional Kebakaran, Ini Koleksi yang Tersimpan di Sana","Museum Nasional menyimpan 190.000-an benda-benda bernilai sejarah yang terbagi ke dalam tujuh kelompok."
https://gaya.tempo.co/read/1773002/jangan-terkecoh-berikut-tips-pilih-minyak-alpukat-dari-pakar,"Jangan Terkecoh, Berikut Tips Pilih Minyak Alpukat dari Pakar","Minyak alpukat kaya asam lemak tak jenuh yang bermanfaat untuk mendukung kesehatan jantung. Berikut tips memilih minyak yang berkualitas."
